"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 15 20:43:45 UTC 2023","Fri Dec 15 20:43:47 UTC 2023","2569","tests","test_api","TestScrapers","","","test_scrapers[elytishospitalScraper]",""
"passed","Fri Dec 15 20:42:09 UTC 2023","Fri Dec 15 20:42:10 UTC 2023","1551","tests","test_api","TestScrapers","","","test_scrapers[zucchettiScraper]",""
"failed","Fri Dec 15 20:43:14 UTC 2023","Fri Dec 15 20:43:16 UTC 2023","1971","tests","test_api","TestScrapers","","","test_scrapers[NagarroScraper]",""
"passed","Fri Dec 15 20:43:10 UTC 2023","Fri Dec 15 20:43:14 UTC 2023","4214","tests","test_api","TestScrapers","","","test_scrapers[nokiaScraper]",""
"failed","Fri Dec 15 20:45:02 UTC 2023","Fri Dec 15 20:45:03 UTC 2023","901","tests","test_api","TestScrapers","","","test_scrapers[pimcopyScraper]",""
"passed","Fri Dec 15 20:44:20 UTC 2023","Fri Dec 15 20:44:22 UTC 2023","2158","tests","test_api","TestScrapers","","","test_scrapers[careerscenterScraper]",""
"failed","Fri Dec 15 20:44:12 UTC 2023","Fri Dec 15 20:44:13 UTC 2023","939","tests","test_api","TestScrapers","","","test_scrapers[conexdistScraper]",""
"passed","Fri Dec 15 20:42:23 UTC 2023","Fri Dec 15 20:42:38 UTC 2023","14916","tests","test_api","TestScrapers","","","test_scrapers[titanmachineryScraper]",""
"passed","Fri Dec 15 20:43:22 UTC 2023","Fri Dec 15 20:43:23 UTC 2023","921","tests","test_api","TestScrapers","","","test_scrapers[kimballelectronicsScraper]",""
"passed","Fri Dec 15 20:44:11 UTC 2023","Fri Dec 15 20:44:12 UTC 2023","1341","tests","test_api","TestScrapers","","","test_scrapers[connectgroupScraper]",""
"passed","Fri Dec 15 20:42:48 UTC 2023","Fri Dec 15 20:42:49 UTC 2023","822","tests","test_api","TestScrapers","","","test_scrapers[sephoraScraper]",""
"passed","Fri Dec 15 20:44:26 UTC 2023","Fri Dec 15 20:44:28 UTC 2023","1502","tests","test_api","TestScrapers","","","test_scrapers[expertmindScraper]",""
